id_mc,id_blazar_mc,aper_mc,IAU_name_mc,ra2000_mc,dec2000_mc,name_mc,Rmag_mc,Rmagerr_mc,PolDeg_mc,ErrPolDeg_mc,PolAngle_mc,ErrPolAngle_mc
193,25,16,"1641+399","16 42 58.8037","+39 48 36.893","3C 345",-99.0,-99.0,,,,
104,25,16,"","16 42 54.8331","+39 50 00.572","3C 345 4",14.768,0.006,,,,
104,25,16,"","16 43 00.566","+39 45 26.80","3C 345 10",13.644,0.01,,,,
104,25,16,"","16 42 49.341","+39 46 37.36","3C 345 12",15.040,0.009,,,,
105,25,16,"","16 42 52.8702","+39 48 33.507","3C 345 19",14.470,0.006,,,,
106,26,16,"1749+096","17 51 32.8304","+09 39 00.716","OT +081",-99.0,-99.0,,,,
107,26,16,"","17 51 37.238","+09 39 06.61","OT +081 C1",11.45,0.04,,,,
107,26,16,"","17 51 35.912","+09 37 17.46","OT +081 C2",13.75,0.04,,,,
107,26,16,"","17 51 28.8673","+09 40 07.529","OT +081 C3",13.80,0.04,,,,
108,26,16,"","17 51 31.0943","+09 39 41.155","OT +081 C4",13.94,0.04,,,,
109,26,16,"","17 51 30.0727","+09 38 35.334","OT +081 C5",14.45,0.04,,,,
107,26,16,"","17 51 37.592","+09 37 42.30","OT +081 C6",14.32,0.05,,,,
110,27,15,"2200+420","22 02 43.2990","+42 16 39.589","BL Lacertae",-99.0,-99.0,,,,
111,27,15,"","22 02 45.4696","+42 16 34.830","BL Lacertae B",11.99,0.04,,,,
112,27,15,"","22 02 40.0940","+42 17 10.450","BL Lacertae C",13.79,0.05,,,,
113,27,15,"","22 02 32.6659","+42 16 47.424","BL Lacertae H",13.73,0.06,,,,
114,28,16,"2223-052","22 25 47.2622","-04 57 01.706","3C 446",-99.0,-99.0,,,,
115,28,16,"","22 25 49.1097","-04 57 57.541","3C 446 1",14.77,0.05,,,,
116,28,16,"","22 25 45.3791","-04 55 57.078","3C 446 2",15.21,0.05,,,,
117,29,16,"2230+114","22 32 36.4330","+11 43 50.625","CTA 102",-99.0,-99.0,,,,
118,29,16,"","22 32 22.2873","+11 42 24.402","CTA 102 1",13.56,0.04,,,,
119,29,16,"","22 32 23.9908","+11 44 22.199","CTA 102 2",14.07,0.07,,,,
120,30,11,"2251+158","22 53 57.7529","+16 08 53.479","3C 454.3",-99.0,-99.0,,,,
#121,30,11,"","22 53 58.1730","+16 09 06.294","3C 454.3 1",13.15,0.02,,,,
#122,30,11,"","22 53 53.5911","+16 05 13.682","3C 454.3 2",13.19,0.02,,,,
#123,30,11,"","22 53 51.0413","+16 05 54.701","3C 454.3 3",14.00,0.02,,,,
#124,30,11,"","22 53 55.1152","+16 07 08.358","3C 454.3 4",14.79,0.02,,,,
124,30,11,"","22 54 07.998","+16 06 10.15","3C 454.3 5",14.83,0.02,,,,
124,30,11,"","22 53 48.360","+16 06 16.69","3C 454.3 6",14.83,0.03,,,,
124,30,11,"","22 53 52.622","+16 09 50.42","3C 454.3 7",14.94,0.02,,,,
124,30,11,"","22 53 59.926","+16 09 52.38","3C 454.3 8",15.34,0.02,,,,
125,31,30,"HD19820","03 14 05.3363","+59 33 48.489","HD19820",6.8,-99.0,4.526,0.025,114.46,0.16
126,32,30,"HD25443","04 06 08.0671","+62 06 06.620","HD25443",6.6,-99.0,4.734,0.045,134.21,0.28
127,33,30,"HD154445","17 05 32.2589","-00 53 31.439","HD154445",5.39,-99.0,3.683,0.072,88.91,0.56
128,34,30,"HD161056","17 43 47.0221","-07 04 46.591","HD161056",5.94,-99.0,4.012,0.032,67.33,0.23
129,35,16,"1127-145","11 30 07.0525","-14 49 27.387","PKS B1127-145",-99.0,-99.0,,,,
130,35,16,"","11 30 9.486","-14 49 47.21","PKS B1127-145 A",17.09,0.05,,,,
131,35,16,"","11 29 59.897","-14 49 42.67","PKS B1127-145 B",15.12,0.05,,,,
132,36,16,"1222+216","12 24 54.4583","+21 22 46.388","4C 21.35",-99.0,-99.0,,,,
133,36,16,"","12 24 56.060","+21 25 56.34","4C 21.35 1",13.84,0.03,,,,
134,36,16,"","12 24 44.133","+21 19 15.64","4C 21.35 2",14.56,0.03,,,,
135,36,16,"","12 24 41.079","+21 21 27.52","4C 21.35 3",15.26,0.04,,,,
136,36,16,"","12 25 01.624","+21 23 23.76","4C 21.35 4",15.83,0.03,,,,
137,37,16,"0316+413","03 19 48.16","+41 30 42.11","3C 84",-99.0,-99.0,,,,
#138,37,16,"","03 19 48.20","+41 32 49.61","3C 84 1",12.05,0.03,,,,
139,37,16,"","03 19 57.35","+41 31 34.50","3C 84 2",12.62,0.03,,,,
140,37,16,"","03 19 51.19","+41 31 25.91","3C 84 3",13.15,0.04,,,,
141,37,16,"","03 20 02.61","+41 30 58.34","3C 84 4",13.68,0.04,,,,
142,37,16,"","03 19 44.44","+41 30 57.98","3C 84 5",13.99,0.04,,,,
143,37,16,"","03 19 44.03","+41 32 25.75","3C 84 6",14.15,0.04,,,,
144,38,16,"J0211+1051","02 11 13.177","+10 51 34.798","J0211+1051",-99.0,-99.0,,,,
145,38,16,"","02 11 14.791","+10 52 16.38","J0211+1051 1",14.926,0.009,,,,
146,38,16,"","02 11 7.532","+10 51 34.80","J0211+1051 2",17.192,0.019,,,,
147,38,16,"","02 11 2.088","+10 51 6.07","J0211+1051 3",15.452,0.008,,,,
148,38,16,"","02 11 11.228","+10 54 10.24","J0211+1051 4",15.183,0.009,,,,
149,39,30,"BD+28 4211","21 51 11.02","+28 51 50.4","BD+28 4211",10.656,-99.0,0.050,0.037,138.1,20.6
150,40,30,"HD 204827","21 28 57.7601719555","+58 44 23.223287944","HD 204827",7.25,-99.0,4.893,0.029,59.10,0.17
151,41,30,"G191-B2B","05 05 30.6182785658","+52 49 51.920797126","G191-B2B",11.93,-99.0,0.246,0.040,132.1,4.6
152,42,30,"BD+59 38","02 02 42.0926399205","+60 15 26.434612498","BD+59 38",8.6,-99.0,,,,
153,43,30,"BD+32 3739","20 12 02.14704","+32 47 43.3032","BD+32 3739",9.487,0.011,,,,
154,44,30,"HD 212311","22 21 58.5829693701","+56 31 52.713825596","HD 212311",8.0,-99.0,,,,
155,45,30,"HD 14069","02 16 45.1906517044","+07 41 10.686704586","HD 14069",9.035,0.0,,,,
156,46,16,"1611+343","16 13 41.0642858568","+34 12 47.910181572","DA 406",-99.0,-99.0,,,,
#157,46,16,"","16 13 38.356","+34 09 38.47","DA 406 A",14.81,0.05,,,,
158,46,16,"","16 13 49.402","+34 11 40.65","DA 406 C",13.96,0.04,,,,
#159,46,16,"","16 13 41.064","+34 12 47.91","DA 406 C1",11.63,0.03,,,,
160,46,16,"","16 13 37.675","+34 13 58.38","DA 406 C2",13.34,0.03,,,,
161,47,16,"1730-130","17 33 02.7055087032","-13 04 49.545516612","NRAO 530",-99.0,-99.0,,,,
#162,47,16,"","17 33 0.687","-13 04 50.70","NRAO 530 1",13.71,0.03,,,,
#163,47,16,"","17 32 58.392","-13 05 19.03","NRAO 530 2",13.44,0.03,,,,
164,47,16,"","17 33 02.349","-13 04 20.64","NRAO 530 3",15.24,0.03,,,,
165,47,16,"","17 33 04.486","-13 03 0.85","NRAO 530 4",15.19,0.03,,,,
166,47,16,"","17 32 51.469","-13 02 24.99","NRAO 530 5",15.23,0.03,,,,
171,48,16,"1219+285","12 21 31.6905","+28 13 58.500","ON 231",-99.0,-99.0,,,,
172,48,16,"","12 21 33.672","+28 13 02.64","ON 231 A",11.72,0.04,,,,
173,48,16,"","12 21 25.880","+28 12 30.63","ON 231 C1",16.03,0.10,,,,
174,48,16,"","12 21 28.607","+28 16 37.36","ON 231 D",13.86,0.04,,,,
175,49,16,"1510-089","15 12 50.533","-09 05 58.99","PKS 1510−08",-99.0,-99.0,,,,
#176,49,16,"","15 12 50.533","-09 05 58.99","PKS 1510−08 1",11.14,0.02,,,,
177,49,16,"","15 12 50.533","-09 05 58.99","PKS 1510−08 2",12.88,0.03,,,,
178,49,16,"","15 12 50.533","-09 05 58.99","PKS 1510−08 3",13.95,0.03,,,,
179,49,16,"","15 12 50.533","-09 05 58.99","PKS 1510−08 4",14.22,0.03,,,,
180,49,16,"","15 12 50.533","-09 05 58.99","PKS 1510−08 5",14.35,0.05,,,,
181,49,16,"","15 12 50.533","-09 05 58.99","PKS 1510−08 6",14.61,0.02,,,,
188,50,30,"BD+38 4955","23 13 38.8205905578","+39 25 02.589638688","BD+38 4955",10.38,-99.0,,,,
189,51,19,"2344+514","23 47 04.8379","+51 42 17.877","1ES 2344+514",-99.0,-99.0,,,,
190,51,19,"","23 47 02.375","+51 43 18.01","1ES 2344+514 C1",12.25,0.04,,,,
191,51,19,"","23 47 23.973","+51 43 49.94","1ES 2344+514 C2",14.20,0.05,,,,
192,51,19,"","23 47 10.321","+51 42 13.95","1ES 2344+514 C3",15.40,0.08,,,,
193,52,19,"0420-014","04 23 15.73","-01 20 32.7","PKS 0420-01",-99.0,-99.0,,,,
194,52,16,"","04 23 21.380","-01 19 15.29","PKS 0420-01 2",12.81,0.02,,,,
195,52,16,"","04 23 00.415","-01 23 39.99","PKS 0420-01 3",12.87,0.03,,,,
196,52,16,"","04 23 14.319","-01 22 20.25","PKS 0420-01 4",14.47,0.03,,,,
202,54,16,"1253−055","12 56 11.1665","-05 47 21.523","3C 279",-99.0,-99.0,,,,
203,54,16,"","12 56 10.290","-05 50 15.38","3C 279 1",12.05,0.02,,,,
204,54,16,"","12 56 28.421","-05 44 21.12","3C 279 2",12.56,0.03,,,,
203,54,16,"","12 56 26.538","-05 45 21.91","3C 279 3",14.53,0.02,,,,
204,54,16,"","12 56 14.539","-05 46 47.54","3C 279 5",15.47,0.02,,,,
205,55,14,"1652+398","16 53 52.2167","+39 45 36.609","MRK 501",-99.0,-99.0,,,,
206,55,14,"","16 53 45.757","+39 44 10.33","MRK 501 1",12.11,0.02,,,,
207,55,14,"","16 53 28.515","+39 47 00.78","MRK 501 2",12.79,0.02,,,,
207,55,14,"","16 53 31.746","+39 47 17.81","MRK 501 3",14.80,0.02,,,,
208,55,14,"","16 53 46.891","+39 43 09.55","MRK 501 4",14.96,0.02,,,,
207,55,14,"","16 53 58.511","+39 48 02.35","MRK 501 5",15.08,0.02,,,,
209,55,14,"","16 53 57.147","+39 45 36.61","MRK 501 6",14.99,0.04,,,,
210,56,16,"1739+522","17 40 36.976","+52 11 43.40","4C 51.37",-99.0,-99.0,,,,
211,56,16,"","17 40 28.594","+52 10 37.38","4C 51.37 A",15.63,0.05,,,,
212,56,16,"","17 40 27.590","+52 12 59.20","4C 51.37 B",17.07,0.10,,,,
213,56,16,"","17 40 33.707","+52 12 24.58","4C 51.37 C",17.32,0.10,,,,
214,56,16,"","17 40 43.164","+52 12 14.12","4C 51.37 D",17.14,0.10,,,,
215,57,16,"1807+698","18 06 50.7","+69 49 28","3C 371",-99.0,-99.0,,,,
216,57,16,"","18 07 11.992","+69 47 08.81","3C 371 C1",13.78,0.06,,,,
217,57,16,"","18 06 42.466","+69 49 49.01","3C 371 C2",15.95,0.10,,,,
218,58,16,"2155−304","21 58 52.07","-30 13 32.1","PKS 2155−304",-99.0,-99.0,,,,
219,58,16,"","21 59 02.499","-30 10 46.75","PKS 2155−304 2",11.67,0.01,,,,
220,58,16,"","21 59 05.272","-30 10 50.64","PKS 2155−304 3",12.47,0.01,,,,
221,58,16,"","21 58 42.338","-30 10 27.78","PKS 2155−304 4",13.92,0.01,,,,
222,59,16,"1ES1959","19 59 59.8520303688","+65 08 54.652536492","1ES1959",-99.0,-99.0,,,,
223,59,16,"","20 00 26.616","+65 09 27.2","1ES1959 1",12.29,0.02,,,,
224,59,16,"","19 59 39.306","+65 08 51.77","1ES1959 2",12.53,0.02,,,,
225,59,16,"","19 59 34.322","+65 06 18.9","1ES1959 3",12.27,0.02,,,,
226,59,16,"","19 59 57.338","+65 09 39.38","1ES1959 4",14.08,0.03,,,,
227,59,16,"","19 59 44.320","+65 10 3.56","1ES1959 5",14.00,0.02,,,,
228,59,16,"","20 00 0.591","+65 07 45.70","1ES1959 6",14.78,0.03,,,,
229,59,16,"","20 00 9.750","+65 07 56.86","1ES1959 7",14.79,0.03,,,,
230,60,30,"GD 319","12 50 04.5262298","+55 06 01.800186","GD 319",12.15,-99.0,,,,
231,61,30,"Hiltner960","20 23 28.5314538120","+39 20 59.037427788","Hiltner960",10.62,-99.0,5.210,0.029,54.54,0.16
231,62,16,"0229+200","02 32 48.60","+20 17 17.0","1ES 0229+200",-99.0,-99.0,,,,
232,62,16,"","02 32 43.040","+20 17 41.66","1ES 0229+200 1",13.7,0.05,,,,
232,62,16,"","02 32 45.131","+20 16 16.05","1ES 0229+200 2",16.3,0.05,,,,
232,62,16,"","02 32 58.880","+20 16 01.00","1ES 0229+200 3",16.6,0.05,,,,
232,62,16,"","02 32 56.514","+20 19 35.38","1ES 0229+200 4",15.7,0.05,,,,
232,62,16,"","02 32 44.946","+20 15 00.88","1ES 0229+200 5",17.4,0.05,,,,
232,62,16,"","02 32 52.332","+20 19 24.94","1ES 0229+200 6",16.0,0.05,,,,
#233,63,16,"0506+056","05 09 26.0","+05 41 35","TXS 0506+056",-99.0,-99.0,,,,
#234,63,16,"","05 09 23.293","+05 40 31.28","TXS 0506+056 1",,,,,,
#235,63,16,"","05 09 24.870","+05 41 35.99","TXS 0506+056 2",,,,,,
#236,63,16,"","05 09 43.131","+05 43 54.53","TXS 0506+056 3",,,,,,
#237,63,16,"","05 09 22.681","+05 37 35.46","TXS 0506+056 4",,,,,,
#238,63,16,"","05 09 23.819","+05 39 47.49","TXS 0506+056 5",,,,,,
#239,63,16,"","05 09 33.190","+05 43 52.59","TXS 0506+056 6",,,,,,
#240,63,16,"","05 09 30.431","+05 42 57.69","TXS 0506+056 7",,,,,,
#241,64,16,"0552+398","05 55 30.8","+39 48 49","B 0552+398",-99.0,-99.0,,,,
#242,65,,"1228+127","12 30 49.4","+12 23 28","M 87",-99.0,-99.0,,,,
243,66,16,"1334-127","13 37 39.8","-12 57 25","B 1334-127",-99.0,-99.0,,,,
244,66,16,"","13 37 40.990","-12 56 36.33","B 1334-127 1",16.93,-99.0,,,,
245,66,16,"","13 37 34.462","-12 58 16.98","B 1334-127 2",17.25,-99.0,,,,
246,66,16,"","13 37 40.096","-12 58 16.98","B 1334-127 3",17.97,-99.0,,,,
247,66,16,"","13 37 42.466","-12 59 02.73","B 1334-127 4",18.25,-99.0,,,,
