,ra2000,dec2000,name,Rmag,Rmagerr,PolDeg,ErrPolDev,PolAngle,ErrPolAngle,ra2000_deg,dec2000_deg
91,22 02 32.6659,+42 16 47.424,bllac-H,13.73,0.06,,,,,330.6361079166667,42.27984
92,22 25 47.2622,-04 57 01.706,3c446,-99.0,-99.0,,,,,336.44692583333335,-4.950473888888889
93,22 25 49.1097,-04 57 57.541,3c4461,14.77,0.05,,,,,336.45462375,-4.9659836111111115
94,22 25 45.3791,-04 55 57.078,3c4462,15.21,0.05,,,,,336.43907958333335,-4.932521666666667
95,22 32 36.4330,+11 43 50.625,cta102,-99.0,-99.0,,,,,338.1518041666667,11.730729166666666
96,22 32 22.2873,+11 42 24.402,cta102-1,13.56,0.04,,,,,338.09286375,11.706778333333332
97,22 32 23.9908,+11 44 22.199,cta102-2,14.07,0.07,,,,,338.0999616666667,11.739499722222222
98,22 53 57.7529,+16 08 53.479,3c454.3,-99.0,-99.0,,,,,343.49063708333335,16.14818861111111
99,22 53 58.1730,+16 09 06.294,3c454.3-1,13.15,0.02,,,,,343.4923875,16.15174833333333
100,22 53 53.5911,+16 05 13.682,3c454.3-2,13.19,0.02,,,,,343.47329625,16.08713388888889
101,22 53 51.0413,+16 05 54.701,3c454.3-3,14.0,0.02,,,,,343.46267208333336,16.098528055555555
102,22 53 55.1152,+16 07 08.358,3c454.3-4,14.79,0.02,,,,,343.47964666666667,16.118988333333334
103,03 14 05.3363,+59 33 48.489,HD19820,6.8,-99.0,4.526,0.025,114.46,0.16,48.522234583333336,59.563469166666664
104,04 06 08.0671,+62 06 06.620,HD25443,6.6,-99.0,4.734,0.045,134.21,0.28,61.53361291666667,62.10183888888889
105,17 05 32.2589,-00 53 31.439,HD154445,5.39,-99.0,3.6830000000000003,0.07200000000000001,88.91,0.56,256.38441208333336,-0.8920663888888889
106,17 43 47.0221,-07 04 46.591,HD161056,5.94,-99.0,4.012,0.032,67.33,0.23,265.9459254166667,-7.0796086111111105
